run_dir,setting,language_mode,language,model_family,seed,macro_f1_normal,macro_f1_first,delta_macro_f1_first,macro_f1_last,delta_macro_f1_last,macro_f1_both,delta_macro_f1_both,macro_f1_both_n_mask,delta_macro_f1_both_n_mask,delta_macro_f1_both_n_minus_both
zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8914224637035717,0.7551630434782608,-0.1362594202253109,0.9054900474778771,0.014067583774305392,0.38019629901581037,-0.5112261646877614,0.3758474461821031,-0.5155750175214686,-0.0043488528337072285
zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.839533382310381,0.3554128631425497,-0.4841205191678313,0.426708025133222,-0.412825357177159,0.3401584144596811,-0.4993749678506999,0.34135691894312586,-0.49817646336725513,0.0011985044834447733
zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8914224637035717,0.4766670716967135,-0.4147553920068582,0.4820902108501155,-0.4093322528534562,0.47292067153658846,-0.41850179216698324,0.46205305651672435,-0.42936940718684735,-0.010867615019864107
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,0.7311688311688311,0.3290732298611294,-0.4020956013077017,0.49315134912361513,-0.238017482045216,0.3210960643250106,-0.41007276684382055,0.3210960643250106,-0.41007276684382055,0.0
zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8448843542945408,0.8485714285714286,0.0036870742768878584,0.8609812076135912,0.01609685331905042,0.4460758506385883,-0.3988085036559525,0.47459727385377937,-0.3702870804407614,0.028521423215191077
zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.777465103294249,0.5183620718974254,-0.25910303139682356,0.7711640432433635,-0.0063010600508854875,0.4853466360759716,-0.2921184672182774,0.5764840182648402,-0.2009810850294088,0.09113738218886858
zero_shot__PT__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.6504559270516717,0.42961890528675506,-0.2208370217649166,0.41635338345864664,-0.23410254359302501,0.4328767123287671,-0.21757921472290453,0.39473684210526316,-0.2557190849464085,-0.03813987022350396
zero_shot__EN__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8555463090696855,0.7187749073377365,-0.13677140173194902,0.6542323912486312,-0.20131391782105434,0.6827694025683975,-0.17277690650128807,0.639585365714514,-0.21596094335517158,-0.0431840368538835
zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8056307162503634,0.7857926797400803,-0.019838036510283152,0.8218996253171362,0.016268909066772808,0.6460612451122534,-0.15956947113811004,0.6760061130922058,-0.1296246031581576,0.02994486797995244
zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8701956527789374,0.7757325716703691,-0.09446308110856827,0.7932368124569104,-0.07695884032202704,0.7263602982085233,-0.14383535457041408,0.6706518068220195,-0.19954384595691788,-0.0557084913865038
zero_shot__PT__target_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.557520404197435,0.4583177570093458,-0.09920264718808919,0.4080365653948623,-0.14948383880257265,0.44823232323232326,-0.10928808096511172,0.45791245791245794,-0.09960794628497704,0.009680134680134678
zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.7711640432433635,0.7506594754439909,-0.020504567799372597,0.7517495190565143,-0.01941452418684919,0.6658786446020488,-0.1052853986413147,0.6821518080916578,-0.08901223515170575,0.016273163489608944
zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.7665617701433198,0.7486261543723635,-0.01793561577095637,0.7646264343148195,-0.001935335828500362,0.7515326361341508,-0.015029134009169054,0.7470224023415513,-0.01953936780176857,-0.004510233792599516
zero_shot__PT__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.5819697597348799,0.5701320343545699,-0.011837725380309916,0.5728044026599404,-0.009165357074939484,0.5793537898801058,-0.0026159698547740806,0.5922727272727273,0.01030296753784743,0.01291893739262151
zero_shot__PT__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.5652173913043479,0.6104172267983281,0.04519983549398021,0.5750513223040695,0.00983393099972163,0.5935703640621672,0.02835297275781934,0.5935703640621672,0.02835297275781934,0.0
