run_dir,setting,language_mode,language,model_family,seed,macro_f1_normal,macro_f1_global_single_mask,delta_macro_f1_global_single_mask,n_has_mwe_prev_next_global_single_mask,n_no_mwe_prev_next_global_single_mask,macro_f1_has_mwe_prev_next_global_single_mask,macro_f1_no_mwe_prev_next_global_single_mask,macro_f1_global_n_mask,delta_macro_f1_global_n_mask,n_has_mwe_prev_next_global_n_mask,n_no_mwe_prev_next_global_n_mask,macro_f1_has_mwe_prev_next_global_n_mask,macro_f1_no_mwe_prev_next_global_n_mask,macro_f1_targeted_context_mask,delta_macro_f1_targeted_context_mask,n_has_mwe_prev_next_targeted_context_mask,n_no_mwe_prev_next_targeted_context_mask,macro_f1_has_mwe_prev_next_targeted_context_mask,macro_f1_no_mwe_prev_next_targeted_context_mask,delta_macro_f1_global_n_minus_single
zero_shot__EN__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8912675051288913,0.37281511236564974,-0.5184523927632416,57,367,0.4183673469387755,0.35741280077664517,0.36524776637705325,-0.526019738751838,57,367,0.42424242424242425,0.3478851647968783,0.37856910216046036,-0.5126984029684309,57,367,0.6041666666666667,0.3478851647968783,-0.00756734598859643
zero_shot__EN__target_True_none_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8381824712643677,0.32584775573378355,-0.5123347155305842,57,367,0.43564356435643564,0.30322045833370476,0.32470338953321126,-0.5134790817311565,57,367,0.43,0.30322045833370476,0.32470338953321126,-0.5134790817311565,57,367,0.43,0.30322045833370476,-0.0011443662005723443
zero_shot__EN__target_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8699640337915076,0.4206280383655236,-0.44933599542598396,57,367,0.43564356435643564,0.40265431325904594,0.4027576629302649,-0.46720637086124267,57,367,0.43564356435643564,0.3835248269838071,0.4027576629302649,-0.46720637086124267,57,367,0.43564356435643564,0.3835248269838071,-0.017870375435258712
zero_shot__EN__target_True_none_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8857758620689655,0.5379289167725348,-0.3478469452964307,57,367,0.5894736842105264,0.5199925261584455,0.5263714035564412,-0.35940445851252434,57,367,0.5263157894736843,0.5130650599400599,0.48540893035051175,-0.4003669317184538,57,367,0.5148936170212766,0.4694252334622748,-0.011557513216093662
zero_shot__EN__target_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8323896061957496,0.5235241234641894,-0.3088654827315602,57,367,0.5637755102040816,0.5063096534494907,0.5040684845764287,-0.3283211216193209,57,367,0.5114285714285715,0.4874508569260453,0.5040684845764287,-0.3283211216193209,57,367,0.5114285714285715,0.4874508569260453,-0.019455638887760696
zero_shot__EN__target_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8136533315530929,0.5455354709782905,-0.26811786057480247,57,367,0.5755319148936171,0.5313045999075474,0.5404743513744933,-0.27317898017859965,57,367,0.5148936170212766,0.530264597053827,0.5105970185908298,-0.3030563129622631,57,367,0.4722222222222222,0.5006328713372572,-0.005061119603797182
zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8631588319088319,0.6039850560398506,-0.25917377586898127,57,367,0.4210526315789473,0.6265709649918874,0.6347018279892118,-0.2284570039196201,57,367,0.4887101763068358,0.6489517608136688,0.6334110217276896,-0.22974781018114232,57,367,0.49060092449922954,0.6489517608136688,0.030716771949361177
zero_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.8960390522256648,0.6469208676293144,-0.24911818459635038,57,367,0.7456389452332657,0.6270993963301656,0.5932139932139932,-0.30282505901167167,57,367,0.6205837173579108,0.5780163715971824,0.5972795497185741,-0.2987595025070907,57,367,0.6526315789473685,0.5780163715971824,-0.05370687441532129
one_shot__EN__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,EN,mBERT,51,0.951140387316282,0.7051262664448813,-0.24601412087140073,54,336,0.7589285714285714,0.6854689882050871,0.6921052631578948,-0.25903512415838725,54,336,0.74072457442165,0.6749474132651703,0.6970455024225828,-0.25409488489369925,54,336,0.7657831325301205,0.6749474132651703,-0.013021003286986521
zero_shot__PT__target_True_none_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.642118029571904,0.404006370987503,-0.23811165858440098,46,161,0.2945531464833422,0.4350877192982456,0.4369678334910123,-0.2051501960808917,46,161,0.34685598377281945,0.4585960487599832,0.4517641328503151,-0.19035389672158892,46,161,0.3770833333333333,0.46985155195681505,0.03296146250350929
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,0.7221867089416758,0.5298165137614679,-0.19237019518020793,42,163,0.5058823529411764,0.5258726270667484,0.5365853658536586,-0.18560134308801723,42,163,0.5456730769230769,0.5258226604707393,0.5414525033314297,-0.1807342056102461,42,163,0.5654290931223371,0.5258226604707393,0.006768852092190691
zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,0.865097041043589,0.6900584795321638,-0.17503856151142516,57,367,0.6677030703458997,0.6858929036579466,0.6775043138679502,-0.1875927271756388,57,367,0.6845466155810984,0.6680818303447966,0.6809485805495381,-0.18414846049405087,57,367,0.6789554531490015,0.6680818303447966,-0.012554165664213635
zero_shot__PT__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,PT,mBERT,51,0.5922441419457266,0.4265578860848124,-0.16568625586091423,46,161,0.39185616076150187,0.4316431322207959,0.41941747572815535,-0.17282666621757126,46,161,0.39185616076150187,0.42098953792502175,0.41941747572815535,-0.17282666621757126,46,161,0.39185616076150187,0.42098953792502175,-0.007140410356657023
