run_dir,setting,language_mode,language,model_family,seed,eval_language,macro_f1_normal,macro_f1_global_single_mask,delta_macro_f1_global_single_mask,n_has_mwe_prev_next_global_single_mask,n_no_mwe_prev_next_global_single_mask,macro_f1_has_mwe_prev_next_global_single_mask,macro_f1_no_mwe_prev_next_global_single_mask,macro_f1_global_n_mask,delta_macro_f1_global_n_mask,n_has_mwe_prev_next_global_n_mask,n_no_mwe_prev_next_global_n_mask,macro_f1_has_mwe_prev_next_global_n_mask,macro_f1_no_mwe_prev_next_global_n_mask,macro_f1_targeted_context_mask,delta_macro_f1_targeted_context_mask,n_has_mwe_prev_next_targeted_context_mask,n_no_mwe_prev_next_targeted_context_mask,macro_f1_has_mwe_prev_next_targeted_context_mask,macro_f1_no_mwe_prev_next_targeted_context_mask,delta_macro_f1_global_n_minus_single
one_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,one_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.9716590364072379,0.41182839774476215,-0.5598306386624758,54,336,0.49677419354838703,0.39062499999999994,0.4090495838869851,-0.5626094525202529,54,336,0.49677419354838703,0.38786786786786787,0.4151106137958365,-0.5565484226114015,54,336,0.5741935483870968,0.38786786786786787,-0.002778813857777007
zero_shot__EN_PT_GL__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.8677803764339013,0.32470338953321126,-0.54307698690069,57,367,0.43,0.30322045833370476,0.32584775573378355,-0.5419326207001177,57,367,0.43,0.30462605462605463,0.33181370479808636,-0.5359666716358149,57,367,0.5114285714285715,0.30462605462605463,0.0011443662005722333
zero_shot__EN_PT_GL__target_True_none_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.8557921229848309,0.3210065537456526,-0.5347855692391783,57,367,0.43564356435643564,0.2980659230659231,0.3269888748580257,-0.5288032481268052,57,367,0.43564356435643564,0.30462605462605463,0.3269888748580257,-0.5288032481268052,57,367,0.43564356435643564,0.30462605462605463,0.005982321112373068
zero_shot__EN_PT_GL__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.8387039026136769,0.3495262226233036,-0.4891776799903733,57,367,0.43564356435643564,0.32840653153153154,0.3448592666833709,-0.493844635930306,57,367,0.43564356435643564,0.3234456175632646,0.3495262226233036,-0.4891776799903733,57,367,0.5114285714285715,0.3234456175632646,-0.00466695593993266
zero_shot__EN_PT_GL__target_True_none_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.8061725091428061,0.3172302737520129,-0.48894223539079323,57,367,0.43564356435643564,0.29423076923076924,0.3221279003961517,-0.48404460874665445,57,367,0.43564356435643564,0.2994488506519693,0.3221279003961517,-0.48404460874665445,57,367,0.43564356435643564,0.2994488506519693,0.004897626644138786
zero_shot__EN_PT_GL__previous_target_next_True_none_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.8887642268254154,0.4027576629302649,-0.48600656389515057,57,367,0.42424242424242425,0.3870951417004049,0.39569256756756754,-0.4930716592578479,57,367,0.42424242424242425,0.3791335964919663,0.41052301787777323,-0.4782412089476422,57,367,0.6361702127659574,0.3791335964919663,-0.007065095362697338
zero_shot__EN_PT_GL__target_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,EN,0.7655587638999816,0.335423197492163,-0.4301355664078186,57,367,0.5114285714285715,0.30833511130076097,0.335423197492163,-0.4301355664078186,57,367,0.5114285714285715,0.30833511130076097,0.3161290322580645,-0.4494297316419171,57,367,0.43564356435643564,0.2928709055876686,0.0
one_shot__EN_PT_GL__previous_target_next_True_none_empty__mBERT__seed51,one_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6880690463718228,0.30683769858308285,-0.3812313477887399,42,163,0.3225806451612903,0.29857663025488246,0.3288428510090167,-0.35922619536280603,42,163,0.33333333333333337,0.321533072326396,0.32582016523622365,-0.3622488811355991,42,163,0.3225806451612903,0.321533072326396,0.02200515242593387
zero_shot__EN_PT_GL__target_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6592376851969103,0.290885550130823,-0.36835213506608727,46,161,0.35211267605633806,0.26818181818181824,0.290885550130823,-0.36835213506608727,46,161,0.35211267605633806,0.26818181818181824,0.290885550130823,-0.36835213506608727,46,161,0.3611111111111111,0.26446351564834975,0.0
zero_shot__EN_PT_GL__previous_target_next_True_none_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,PT,0.6740157480314961,0.3104448742746615,-0.3635708737568346,46,161,0.35211267605633806,0.2919602066521498,0.3020527068216761,-0.37196304120982,46,161,0.35211267605633806,0.28198970840480275,0.3047670639219935,-0.3692486841095026,46,161,0.3611111111111111,0.28198970840480275,-0.008392167452985377
